bin_id,timestamp,waste_level_kg,capacity_kg,fill_percentage,day_of_week,hour,is_weekend,is_market_area
BIN001,2024-01-01 00:00:00,24.27,100,24.3,0,0,0,0
BIN001,2024-01-01 06:00:00,28.2,100,28.2,0,6,0,0
BIN001,2024-01-01 12:00:00,31.96,100,32.0,0,12,0,0
BIN001,2024-01-01 18:00:00,33.24,100,33.2,0,18,0,0
BIN001,2024-01-02 00:00:00,37.27,100,37.3,1,0,0,0
BIN001,2024-01-02 06:00:00,41.51,100,41.5,1,6,0,0
BIN001,2024-01-02 12:00:00,44.89,100,44.9,1,12,0,0
BIN001,2024-01-02 18:00:00,46.13,100,46.1,1,18,0,0
BIN001,2024-01-03 00:00:00,50.64,100,50.6,2,0,0,0
BIN001,2024-01-03 06:00:00,55.8,100,55.8,2,6,0,0
BIN001,2024-01-03 12:00:00,62.38,100,62.4,2,12,0,0
BIN001,2024-01-03 18:00:00,63.2,100,63.2,2,18,0,0
BIN001,2024-01-04 00:00:00,66.78,100,66.8,3,0,0,0
BIN001,2024-01-04 06:00:00,72.19,100,72.2,3,6,0,0
BIN001,2024-01-04 12:00:00,74.88,100,74.9,3,12,0,0
BIN001,2024-01-04 18:00:00,81.03,100,81.0,3,18,0,0
BIN001,2024-01-05 00:00:00,11.09,100,11.1,4,0,0,0
BIN001,2024-01-05 06:00:00,17.52,100,17.5,4,6,0,0
BIN001,2024-01-05 12:00:00,19.88,100,19.9,4,12,0,0
BIN001,2024-01-05 18:00:00,28.31,100,28.3,4,18,0,0
BIN001,2024-01-06 00:00:00,32.44,100,32.4,5,0,1,0
BIN001,2024-01-06 06:00:00,40.83,100,40.8,5,6,1,0
BIN001,2024-01-06 12:00:00,42.28,100,42.3,5,12,1,0
BIN001,2024-01-06 18:00:00,46.23,100,46.2,5,18,1,0
BIN001,2024-01-07 00:00:00,53.5,100,53.5,6,0,1,0
BIN001,2024-01-07 06:00:00,59.62,100,59.6,6,6,1,0
BIN001,2024-01-07 12:00:00,66.48,100,66.5,6,12,1,0
BIN001,2024-01-07 18:00:00,74.6,100,74.6,6,18,1,0
BIN001,2024-01-08 00:00:00,78.05,100,78.0,0,0,0,0
BIN001,2024-01-08 06:00:00,79.89,100,79.9,0,6,0,0
BIN001,2024-01-08 12:00:00,19.2,100,19.2,0,12,0,0
BIN001,2024-01-08 18:00:00,23.54,100,23.5,0,18,0,0
BIN001,2024-01-09 00:00:00,28.33,100,28.3,1,0,0,0
BIN001,2024-01-09 06:00:00,34.7,100,34.7,1,6,0,0
BIN001,2024-01-09 12:00:00,38.65,100,38.7,1,12,0,0
BIN001,2024-01-09 18:00:00,43.19,100,43.2,1,18,0,0
BIN001,2024-01-10 00:00:00,48.35,100,48.4,2,0,0,0
BIN001,2024-01-10 06:00:00,54.84,100,54.8,2,6,0,0
BIN001,2024-01-10 12:00:00,57.82,100,57.8,2,12,0,0
